puzzle_id,fen_string,solution_moves,difficulty_elo,tag_id
1,neque vestibulum eget,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,425,239
2,ipsum integer,pellentesque at nulla suspendisse potenti,598,205
3,eu massa,duis bibendum felis sed,726,161
4,nonummy maecenas tincidunt lacus at,in ante vestibulum ante ipsum primis in faucibus orci luctus,349,172
5,at dolor quis odio,lectus in quam fringilla,1718,176
6,magna vestibulum aliquet ultrices erat,platea dictumst morbi vestibulum velit,1659,198
7,ante ipsum primis in faucibus,neque sapien placerat ante nulla justo,403,108
8,nec nisi vulputate nonummy,sapien ut,1902,82
9,dui vel nisl,ante ipsum primis in faucibus orci luctus et ultrices posuere,2602,134
10,orci luctus et,in magna bibendum imperdiet,2373,262
11,ac enim in,vestibulum ante ipsum,415,150
12,praesent blandit nam,nullam sit amet turpis elementum ligula vehicula consequat,648,264
13,integer ac leo pellentesque ultrices mattis,sit amet diam in magna bibendum,1083,202
14,habitasse,et magnis dis parturient montes nascetur ridiculus mus,407,174
15,elit proin interdum,parturient montes nascetur ridiculus mus etiam vel,1887,34
16,libero ut massa,non mauris morbi non,2384,32
17,justo lacinia eget tincidunt,libero rutrum ac lobortis vel dapibus,598,197
18,dolor vel est donec odio justo,dolor vel est donec odio justo sollicitudin ut suscipit,2546,151
19,pellentesque ultrices phasellus,sapien in sapien iaculis congue,2363,179
20,orci mauris lacinia sapien,amet nunc viverra dapibus nulla suscipit ligula,1302,31
21,mauris sit amet eros suspendisse accumsan,nunc viverra dapibus nulla suscipit,1713,157
22,ac lobortis vel dapibus,eu sapien cursus vestibulum proin eu mi,2030,249
23,potenti nullam,in hac habitasse platea dictumst etiam faucibus cursus urna,2501,210
24,ligula nec sem,libero ut massa volutpat convallis,2680,118
25,purus,facilisi cras non velit nec nisi,811,190
26,proin leo odio,nulla ac enim in tempor turpis nec euismod,494,291
27,lorem quisque ut erat,risus auctor sed tristique in tempus sit amet sem fusce,1022,267
28,interdum,magna bibendum imperdiet nullam orci pede venenatis,990,2
29,sit amet nulla quisque arcu libero,morbi non quam,752,21
30,scelerisque quam turpis adipiscing,pede ac diam cras pellentesque volutpat dui,2355,225
31,sapien a libero nam dui,sit amet turpis elementum ligula,625,300
32,convallis duis consequat dui nec nisi,justo lacinia eget tincidunt eget tempus vel,1593,188
33,amet,libero nullam sit amet,683,260
34,non mattis,nonummy maecenas tincidunt lacus at velit vivamus vel nulla,1293,83
35,rhoncus,cras mi pede malesuada in imperdiet et commodo,968,13
36,sagittis sapien,nulla integer pede justo lacinia eget tincidunt eget tempus vel,1299,259
37,sapien arcu,morbi odio odio elementum eu interdum eu tincidunt,422,157
38,orci luctus et,morbi porttitor lorem,637,156
39,libero nullam sit amet turpis,aenean fermentum donec ut mauris eget massa tempor,363,141
40,magna ac consequat,eu felis fusce posuere felis sed lacus,242,3
41,et eros,curabitur convallis duis consequat dui,2963,224
42,justo maecenas rhoncus aliquam lacus morbi,nulla,950,279
43,velit donec diam neque,suscipit nulla elit ac nulla sed,1725,201
44,eu felis fusce posuere,rhoncus dui vel sem sed sagittis nam congue risus,1115,164
45,blandit mi in porttitor pede justo,felis eu sapien cursus vestibulum,776,15
46,mauris laoreet ut rhoncus aliquet,semper porta volutpat quam pede lobortis ligula,466,248
47,habitasse platea dictumst maecenas ut massa,quisque ut,1141,132
48,odio odio elementum eu,in,1529,202
49,duis ac nibh fusce lacus,ullamcorper augue a suscipit nulla elit ac nulla sed vel,1742,264
50,sed interdum,scelerisque mauris sit amet eros,2964,203
51,nisi venenatis tristique,risus,1530,19
52,venenatis non sodales sed tincidunt eu,augue vel accumsan tellus nisi eu,1301,149
53,nisl ut,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,1298,66
54,rutrum nulla,ut,529,97
55,id nulla ultrices aliquet maecenas,quis lectus suspendisse,1210,70
56,ante,morbi vel lectus in quam,116,247
57,vulputate nonummy maecenas,velit id,1388,151
