attempt_id,user_id,puzzle_id,is_successful,time_taken_sec,attempt_date
1,105,351,True,538,2023-08-12 10:51:04
2,235,210,True,779,2023-07-11 06:11:43
3,44,13,False,668,2023-10-25 10:16:23
4,307,335,True,261,2023-07-04 06:58:30
5,196,715,True,866,2023-12-20 16:21:32
6,295,356,False,181,2023-07-30 09:29:24
7,536,44,True,114,2023-04-20 19:15:22
8,108,761,False,150,2023-02-10 01:53:44
9,104,534,False,289,2023-08-09 06:15:40
10,27,749,True,472,2023-04-20 23:53:00
11,271,392,True,218,2023-05-06 04:55:06
12,303,422,True,868,2023-11-02 22:10:54
13,150,76,True,604,2023-01-18 18:44:38
14,595,58,True,324,2023-03-26 15:32:36
15,356,165,True,142,2023-09-23 07:24:17
16,485,279,True,255,2023-07-05 23:50:24
17,556,289,False,91,2023-02-19 05:52:27
18,2,358,True,661,2023-03-25 14:36:33
19,571,516,True,167,2023-03-18 07:46:47
20,370,355,False,388,2023-03-09 20:35:23
21,145,794,True,124,2023-06-22 08:20:52
22,407,14,False,651,2023-02-07 23:51:39
23,212,176,False,300,2023-03-23 22:19:50
24,272,437,False,688,2023-09-01 09:28:40
25,213,81,False,30,2023-03-06 17:43:44
26,550,675,True,497,2023-02-09 22:20:31
27,474,783,True,631,2023-12-21 17:27:00
28,148,548,True,656,2023-09-30 05:39:18
29,390,434,False,123,2023-08-05 16:39:28
30,445,329,False,34,2023-06-23 22:26:50
31,47,665,False,343,2023-10-27 18:18:19
32,154,774,True,532,2023-09-16 00:51:05
33,186,588,True,684,2023-12-15 04:13:02
34,46,16,True,207,2023-06-01 08:44:43
35,148,699,True,288,2023-12-12 22:51:54
36,33,623,False,336,2023-05-03 12:56:35
37,270,212,False,293,2023-05-10 06:20:27
38,165,552,True,856,2023-02-14 20:23:36
39,440,443,False,671,2023-11-18 22:30:20
40,392,732,True,396,2023-08-04 03:05:06
41,191,8,False,898,2023-11-30 17:27:30
42,109,30,False,151,2023-10-03 02:05:48
43,292,278,False,661,2023-02-23 13:49:09
44,28,640,False,248,2023-09-21 11:09:38
45,201,741,True,157,2023-03-04 01:36:57
46,308,220,True,379,2023-10-05 16:40:11
47,152,506,True,40,2023-09-21 08:53:43
48,185,525,True,498,2023-08-03 20:30:14
49,230,420,True,22,2023-01-15 21:58:32
50,404,212,True,434,2023-04-30 11:25:54
51,526,175,False,161,2023-04-04 17:47:08
52,355,396,True,876,2023-09-04 08:03:53
53,230,214,True,197,2023-01-26 02:56:12
54,3,637,True,632,2023-06-12 22:11:47
55,549,43,False,359,2023-09-22 22:40:44
56,132,61,True,873,2023-12-17 16:56:20
57,408,532,True,679,2023-11-04 19:24:07
58,444,181,True,786,2023-02-08 14:03:48
59,597,176,True,430,2023-09-22 23:06:54
60,419,55,False,460,2023-02-23 11:24:30
61,513,674,True,490,2023-04-06 12:59:58
62,356,593,True,275,2023-02-28 07:26:45
63,133,257,False,268,2023-03-02 13:32:41
64,467,55,True,183,2023-03-19 18:10:59
65,282,359,True,734,2023-07-19 21:39:30
66,91,310,False,104,2023-08-29 13:54:18
67,418,788,True,508,2023-03-29 13:57:38
68,479,292,True,401,2023-09-18 10:13:35
69,569,736,False,784,2023-10-27 18:31:25
70,9,59,True,697,2023-11-11 17:04:10
71,410,377,True,308,2023-07-19 18:36:36
72,187,427,True,365,2023-11-04 16:26:38
73,380,306,False,358,2023-04-08 11:14:37
74,477,435,False,262,2023-10-18 05:49:28
75,259,412,False,548,2023-06-09 15:54:34
76,212,359,False,276,2023-02-06 05:06:16
77,585,34,False,795,2023-04-01 18:37:12
78,562,539,False,218,2023-11-17 10:23:43
79,363,250,True,688,2023-07-24 00:37:33
80,430,188,True,604,2023-03-31 07:50:04
81,275,177,True,222,2023-12-26 17:48:57
82,252,704,True,480,2023-08-21 02:06:12
83,412,58,True,759,2023-10-29 06:32:15
84,304,641,True,894,2023-03-21 10:53:47
85,343,702,True,834,2023-09-02 19:51:32
86,492,258,True,845,2023-06-27 15:08:17
87,334,747,True,295,2023-01-08 01:58:22
88,69,527,True,660,2023-09-21 17:36:13
89,451,577,False,349,2023-11-13 16:34:48
90,200,712,True,75,2023-08-18 05:43:40
91,48,262,True,655,2023-09-27 06:36:19
92,377,638,True,706,2023-05-12 09:57:18
93,295,592,False,854,2023-06-26 15:21:22
94,487,647,True,644,2023-05-29 08:45:50
95,576,669,True,245,2023-08-28 20:59:29
96,437,47,True,117,2023-04-10 08:59:51
97,198,13,True,45,2023-06-30 22:33:08
98,435,500,True,878,2023-03-29 09:51:49
99,382,413,True,837,2023-11-03 04:56:28
100,350,573,True,144,2023-11-23 10:02:33
101,557,558,True,408,2023-11-14 01:49:50
102,349,551,True,166,2023-12-13 09:02:27
103,360,600,True,83,2023-10-03 05:39:14
104,249,477,False,228,2023-02-24 15:13:19
105,199,766,False,655,2023-10-05 06:05:52
106,300,555,True,212,2023-04-08 00:25:19
107,368,119,True,70,2023-12-15 10:34:10
108,454,508,False,160,2023-01-19 07:59:00
109,184,6,False,436,2023-01-12 09:43:55
110,590,249,True,340,2023-05-29 02:52:34
111,212,29,False,723,2023-04-03 13:20:09
112,451,609,True,693,2023-06-23 04:31:04
113,153,769,False,648,2023-05-29 17:03:18
114,328,78,False,252,2023-01-13 09:43:07
115,498,728,False,634,2023-06-06 07:41:29
116,231,698,True,439,2023-04-21 03:51:36
117,441,275,True,353,2023-01-19 04:25:10
118,311,467,True,860,2023-10-25 23:14:13
119,192,764,True,109,2023-07-05 12:52:45
120,258,374,True,379,2023-06-16 03:45:43
121,509,742,True,108,2023-06-03 04:18:17
122,541,518,True,751,2023-07-09 22:23:43
123,287,420,True,40,2023-11-29 00:06:39
124,412,597,True,422,2023-03-25 04:32:39
125,61,408,False,750,2023-12-15 21:25:30
126,159,683,True,373,2023-01-27 14:19:01
127,142,265,False,789,2023-10-16 23:18:42
128,182,32,True,509,2023-05-24 00:25:41
129,544,501,True,353,2023-06-26 10:03:45
130,107,360,False,286,2023-01-20 13:13:10
131,329,479,False,84,2023-11-23 04:05:51
132,402,586,True,824,2023-07-10 02:58:05
133,456,759,True,420,2023-01-06 14:04:55
134,483,193,True,103,2023-08-11 07:27:02
135,156,581,True,405,2023-04-28 10:44:55
136,394,291,True,254,2023-10-24 09:54:26
137,140,184,True,142,2023-01-18 19:17:53
138,278,567,True,607,2023-05-30 09:50:46
139,518,635,True,116,2023-12-04 15:40:23
140,255,232,True,823,2023-12-18 01:15:29
141,331,571,True,358,2023-08-05 05:46:51
142,12,263,True,774,2023-01-02 02:39:04
143,230,13,False,38,2023-11-08 02:11:34
144,120,418,True,419,2023-08-07 21:30:29
145,415,712,True,167,2023-09-20 18:36:41
146,520,563,True,573,2023-12-17 08:09:23
147,352,145,True,881,2023-04-22 16:22:49
148,437,115,True,352,2023-01-15 07:48:12
149,308,585,True,21,2023-10-02 17:44:36
150,36,180,False,406,2023-07-04 16:33:38
151,233,163,True,253,2023-05-18 06:06:52
152,156,94,False,262,2023-03-30 14:49:21
153,188,494,True,301,2023-01-14 22:53:16
154,420,196,True,447,2023-11-08 21:15:52
155,174,72,True,546,2023-05-14 16:48:52
156,418,156,True,289,2023-03-24 17:08:51
157,400,101,True,389,2023-10-05 17:10:34
158,570,123,False,406,2023-11-02 05:49:19
159,111,559,True,324,2023-09-24 13:30:57
160,8,590,True,404,2023-03-19 22:06:16
161,230,96,True,403,2023-04-18 06:34:42
162,73,256,False,174,2023-11-18 20:11:40
163,61,10,True,261,2023-10-28 11:47:53
164,513,657,True,581,2023-09-22 03:40:23
165,268,357,False,213,2023-04-05 00:31:59
166,533,357,True,829,2023-05-06 22:52:15
